screen_name,fav,rt,tweet,tweet_url
Calum5SOS,65617,12662,"Looking through the mentions, there has been a lot of throwbacks... if you’re still here with us... Thankyou. It me… https://t.co/qIDM4ipIBQ",https://twitter.com/Calum5SOS/status/1155009691098894336
peaceforchange,9945,2184,The clip of Air Marshal is revealed to be doctored through inset. Admission and expression were too identical to di… https://t.co/YaRH9SDmr6,https://twitter.com/peaceforchange/status/1155397799732817920
GOP,13555,4874,“We've gone through roughly 200 days of this Democratic socialist majority— name one thing they have solved.” -… https://t.co/5ERb41SJLv,https://twitter.com/GOP/status/1155190162416123909
Nigel_Farage,9483,2801,"If @BorisJohnson tries to put through a reheated version of Mrs May’s treaty, we’ll fight him in every single seat. https://t.co/Ieobx7YcII",https://twitter.com/Nigel_Farage/status/1155041071388397569
PeterStefanovi2,5551,3519,"We now hear that through retirement &amp; natural wastage we will lose 20,000 Police officers over the next 3 years. So… https://t.co/5yyIAMHUPK",https://twitter.com/PeterStefanovi2/status/1155029560884379648
glennkirschner2,5668,2658,"Listen up Republicans - these words from Trump are YOUR words! Through your disgraceful inaction, through your abdi… https://t.co/CJJniWP0RV",https://twitter.com/glennkirschner2/status/1155141449236787206
Imamofpeace,1503,765,Wow: “Retired Dean of Qatar’s Intelligence Agency dares Imam Tawhidi to expose @IlhanMN’s ties to Qatar and their f… https://t.co/xlIcDaRVN1,https://twitter.com/Imamofpeace/status/1155369142037278720
JoyceMeyer,10096,2146,"No matter what you are going through, lift it up to God and say, ""God, I trust that You are working in my life righ… https://t.co/4EHMh6zUgN",https://twitter.com/JoyceMeyer/status/1155230381752369157
SkySportsNews,13501,2328,Gareth Bale's move to Chinese Super League club Jiangsu Suning has fallen through.,https://twitter.com/SkySportsNews/status/1155454587043745792
Truman_Black,18979,2312,People want attention. You have it. You are powerful. You are an anti fascist. And I’m proud of you for it. People… https://t.co/v5wjZ4HBBb,https://twitter.com/Truman_Black/status/1155214597122646017
jonmachota,3609,781,"Reporter: Any advice for Ezekiel Elliott as he goes through this process?

DeMarcus Lawrence: “I got something for… https://t.co/e8iAcYrffR",https://twitter.com/jonmachota/status/1155193089704599552
5liveSport,5953,1613,"""Aubameyang and Lacazette will not be leaving Arsenal to help finance this deal""

🗣️ Okay Arsenal fans,… https://t.co/B5HYVgWZgB",https://twitter.com/5liveSport/status/1155106756701372417
